termCode,termExtendedName,termShortName,scientific_name_clean,scope_note_clean,allFacets,nlp_text,nlp_word_count,common_names
A02HF,Mussels,,Mytilus edulis L.$Mytilus galloprovincialis Lam.$Mytilus smaragdinus$Mytilus spp.,"The group includes any type of bivalve molluscs belonging to the ISSCAAP group 54: mussels. Bivalve molluscs of the family Mytilidae. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02HF#F01.A055C$F02.A0EME$F27.A02HF$F33.A0C38,"Mussels. Mytilus edulis L.$Mytilus galloprovincialis Lam.$Mytilus smaragdinus$Mytilus spp. The group includes any type of bivalve molluscs belonging to the ISSCAAP group 54: mussels. Bivalve molluscs of the family Mytilidae. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",51,
A02HG,Oysters,,Ostrea edulis L.$Ostrea spp.$Crassostrea angulata Lam.$Gryphaea angulata Lam.$Crassostrea gigas$Crassostrea virginica$Crassostrea spp.,"The group includes any type of Bivalve molluscs belonging to the ISSCAAP group 53: Oysters. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02HG#F01.A055D$F02.A0EME$F27.A02HG$F33.A0C38,"Oysters. Ostrea edulis L.$Ostrea spp.$Crassostrea angulata Lam.$Gryphaea angulata Lam.$Crassostrea gigas$Crassostrea virginica$Crassostrea spp. The group includes any type of Bivalve molluscs belonging to the ISSCAAP group 53: Oysters. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",49,
A02HH,Ovine milk,,,"The group includes Ovine milk. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A02HH#F01.A0F1Y$F02.A06AZ$F27.A02HH$F33.A0C5S,"Ovine milk. The group includes Ovine milk. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",48,
A02HJ,"Oyster, european",,Ostrea edulis L.,"Bivalve molluscs classified under the species Ostrea edulis L., commonly known as European oyster. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02HJ#F01.A055F$F02.A0EME$F27.A02HJ$F33.A0C38,"Oyster, european. European oyster. Ostrea edulis L. Bivalve molluscs classified under the species Ostrea edulis L., commonly known as European oyster. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",42,European oyster
A02HK,"Oyster, portuguese cupped",,Crassostrea angulata Lam.$Gryphaea angulata Lam.,"Bivalve molluscs classified under the species Crassostrea angulata Lam. or Gryphaea angulata Lam., commonly known as Portuguese cupped oyster. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02HK#F01.A055G$F02.A0EME$F27.A02HK$F33.A0C38,"Oyster, portuguese cupped. Portuguese cupped oyster. Crassostrea angulata Lam.$Gryphaea angulata Lam. Bivalve molluscs classified under the species Crassostrea angulata Lam. or Gryphaea angulata Lam., commonly known as Portuguese cupped oyster. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",51,Portuguese cupped oyster
A02HL,"Oyster, sydney rock",,Saccostrea commercialis,"Bivalve molluscs classified under the species Saccostrea commercialis, commonly known as Sydney rock oyster. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02HL#F01.A055H$F02.A0EME$F27.A02HL$F33.A0C38,"Oyster, sydney rock. Sydney rock oyster. Saccostrea commercialis. Bivalve molluscs classified under the species Saccostrea commercialis, commonly known as Sydney rock oyster. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",43,Sydney rock oyster
A02HM,"Oyster, pacific cupped",,Crassostrea gigas,"Bivalve molluscs classified under the species Crassostrea gigas, commonly known as Pacific cupped oyster. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02HM#F01.A055J$F02.A0EME$F27.A02HM$F33.A0C38,"Oyster, pacific cupped. Pacific cupped oyster. Crassostrea gigas. Bivalve molluscs classified under the species Crassostrea gigas, commonly known as Pacific cupped oyster. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",43,Pacific cupped oyster
A02HN,"Scallops, pectens",,Pecten spp.$Placopecten spp.$Argopecten sp.,"The group includes any type of molluscs belonging to the ISSCAAP group 55: Scallops, pectens. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02HN#F01.A055K$F02.A0EME$F27.A02HN$F33.A0C38,"Scallops, pectens. Pecten spp.$Placopecten spp.$Argopecten sp. The group includes any type of molluscs belonging to the ISSCAAP group 55: Scallops, pectens. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",43,
A02HP,"Scallop, australian",,Pecten meridionalis,"Bivalve molluscs classified under the species Pecten meridionalis, commonly known as Australian scallops. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02HP#F01.A055L$F02.A0EME$F27.A02HP$F33.A0C38,"Scallop, australian. Australian scallop. Pecten meridionalis. Bivalve molluscs classified under the species Pecten meridionalis, commonly known as Australian scallops. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",40,Australian scallop
A02HQ,"Scallop, bay",,Argopecten irradians,"Bivalve molluscs classified under the species Argopecten irradians, commonly known as Bay scallop. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02HQ#F01.A055M$F02.A0EME$F27.A02HQ$F33.A0C38,"Scallop, bay. Bay scallop. Argopecten irradians. Bivalve molluscs classified under the species Argopecten irradians, commonly known as Bay scallop. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",40,Bay scallop
A02HR,"Scallop, giant pacific",,Pecten caurinus,"Bivalve molluscs classified under the species Pecten caurinus, commonly known as Giant pacific scallop. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02HR#F01.A055N$F02.A0EME$F27.A02HR$F33.A0C38,"Scallop, giant pacific. Giant pacific scallop. Pecten caurinus. Bivalve molluscs classified under the species Pecten caurinus, commonly known as Giant pacific scallop. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",43,Giant pacific scallop
A02HS,"Scallop, great",,Pecten maximus L.,"Bivalve molluscs classified under the species Pecten maximus L., commonly known as Great scallop. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02HS#F01.A055P$F02.A0EME$F27.A02HS$F33.A0C38,"Scallop, great. Great scallop. Pecten maximus L. Bivalve molluscs classified under the species Pecten maximus L., commonly known as Great scallop. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",42,Great scallop
A02HT,"Scallop, new zealand",,Pecten novaezelandiae,"Bivalve molluscs classified under the species Pecten novaezelandiae, commonly known as New zealand scallop. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02HT#F01.A055Q$F02.A0EME$F27.A02HT$F33.A0C38,"Scallop, new zealand. New zealand scallop. Pecten novaezelandiae. Bivalve molluscs classified under the species Pecten novaezelandiae, commonly known as New zealand scallop. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",43,New zealand scallop
A02HV,"Scallop, queen",,Pecten opercularis L.$Chlamys opercularis L.$Aequipecten opercularis,"Bivalve molluscs classified under the species Pecten opercularis L. or Chlamys opercularis L. or Aequipecten opercularis, commonly known as Queen scallop. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02HV#F01.A055R$F02.A0EME$F27.A02HV$F33.A0C38,"Scallop, queen. Queen scallop. Pecten opercularis L.$Chlamys opercularis L.$Aequipecten opercularis. Bivalve molluscs classified under the species Pecten opercularis L. or Chlamys opercularis L. or Aequipecten opercularis, commonly known as Queen scallop. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",52,Queen scallop
A02HX,"Scallop, sea",,Placopecten magellanicus,"Bivalve molluscs classified under the species Placopecten magellanicus, commonly known as Sea scallop. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02HX#F01.A055S$F02.A0EME$F27.A02HX$F33.A0C38,"Scallop, sea. Sea scallop. Placopecten magellanicus. Bivalve molluscs classified under the species Placopecten magellanicus, commonly known as Sea scallop. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",40,Sea scallop
A02HY,Freshwater molluscs,,,"The group includes any type of molluscs belonging to the ISSCAAP group 51: Freshwater molluscs. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02HY#F01.A0APF$F02.A0EME$F27.A02HY$F33.A0C38,"Freshwater molluscs. The group includes any type of molluscs belonging to the ISSCAAP group 51: Freshwater molluscs. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",39,
A02HZ,"Squids, cuttlefishes, octopuses",,,"The group includes any type of molluscs belonging to the ISSCAAP group 57: Squids, cuttlefishes, octopuses. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02HZ#F01.A055T$F02.A0EME$F27.A02HZ$F33.A0C38,"Squids, cuttlefishes, octopuses. The group includes any type of molluscs belonging to the ISSCAAP group 57: Squids, cuttlefishes, octopuses. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",41,
A02JA,Cuttlefishes,,Sepia officinalis L.$Sepia elegans d’Orbigny$Sepia spp.$Sepiola atlantica d’Orbigny$Sepia rondeleti Leach,"Cephalopods classified under the taxonomic groups Sepia officinalis L. or Sepia elegans d’Orbigny or Sepia spp. or Sepiola atlantica d’Orbigny or Sepia rondeleti Leach, commonly known as Cuttlefishes. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02JA#F01.A055T$F02.A0EME$F27.A02JA$F33.A0C38,"Cuttlefishes. Sepia officinalis L.$Sepia elegans d’Orbigny$Sepia spp.$Sepiola atlantica d’Orbigny$Sepia rondeleti Leach. Cephalopods classified under the taxonomic groups Sepia officinalis L. or Sepia elegans d’Orbigny or Sepia spp. or Sepiola atlantica d’Orbigny or Sepia rondeleti Leach, commonly known as Cuttlefishes. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",60,
A02JB,"Cuttlefish, common",,Sepia officinalis L.,"Cephalopods classified under the species Sepia officinalis L., commonly known as common Cuttlefish. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02JB#F01.A055X$F02.A0EME$F27.A02JB$F33.A0C38,"Cuttlefish, common. Common cuttlefish. Sepia officinalis L. Cephalopods classified under the species Sepia officinalis L., commonly known as common Cuttlefish. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",41,Common cuttlefish
A02JC,Little cuttle,,Sepiola atlantica,"Cephalopods classified under the species Sepiola atlantica, commonly known as Little cuttle. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02JC#F01.A055Y$F02.A0EME$F27.A02JC$F33.A0C38,"Little cuttle. Sepiola atlantica. Cephalopods classified under the species Sepiola atlantica, commonly known as Little cuttle. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",37,
A02JD,Octopuses,,Octopus vulgaris Lam.$Eledone cirrhosa Lam.$Eledone moschata Lam.,"Cephalopods classified under the species Octopus vulgaris Lam. or Eledone cirrhosa Lam. or Eledone moschata Lam., commonly known as Octopuses. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02JD#F01.A055Z$F02.A0EME$F27.A02JD$F33.A0C38,"Octopuses. Octopus vulgaris Lam.$Eledone cirrhosa Lam.$Eledone moschata Lam. Cephalopods classified under the species Octopus vulgaris Lam. or Eledone cirrhosa Lam. or Eledone moschata Lam., commonly known as Octopuses. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",49,
A02JE,"Octopus, common",,Octopus vulgaris Lam.,"Cephalopods classified under the species Octopus vulgaris Lam., commonly known as common octopus. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02JE#F01.A056A$F02.A0EME$F27.A02JE$F33.A0C38,"Octopus, common. Common octopus. Octopus vulgaris Lam. Cephalopods classified under the species Octopus vulgaris Lam., commonly known as common octopus. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",41,Common octopus
A02JF,"Octopus, musky",,Eledone moschata Lam.,"Cephalopods classified under the species Eledone moschata Lam., commonly known as musky octopus. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02JF#F01.A056B$F02.A0EME$F27.A02JF$F33.A0C38,"Octopus, musky. Musky octopus. Eledone moschata Lam. Cephalopods classified under the species Eledone moschata Lam., commonly known as musky octopus. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",41,Musky octopus
A02JG,"Octopus, curled",,Eledone cirrhosa Lam.,"Cephalopods classified under the species Eledone cirrhosa Lam., commonly known as Curled octopus. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02JG#F01.A056C$F02.A0EME$F27.A02JG$F33.A0C38,"Octopus, curled. Curled octopus. Eledone cirrhosa Lam. Cephalopods classified under the species Eledone cirrhosa Lam., commonly known as Curled octopus. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",41,Curled octopus
A02JH,Squids,,Loligo forbesi Steensrup$Loligo vulgaris Lam.$Loligo spp.$Alloteuthis subulata lam.$Ommastrephes sagittatus Lam.$Todarodes sagittatus Lam.$Todarodes pacificus$Illex illecebrosus$Illex spp.,"Cephalopods classified under the taxonomic groups Loligo forbesi Steensrup or Loligo vulgaris Lam. or Loligo spp. or Alloteuthis subulata lam. or Ommastrephes sagittatus Lam. or Todarodes sagittatus Lam. or Todarodes pacificus or Illex illecebrosus or Illex spp., commonly known as Squids. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02JH#F01.A055T$F02.A0EME$F27.A02JH$F33.A0C38,"Squids. Loligo forbesi Steensrup$Loligo vulgaris Lam.$Loligo spp.$Alloteuthis subulata lam.$Ommastrephes sagittatus Lam.$Todarodes sagittatus Lam.$Todarodes pacificus$Illex illecebrosus$Illex spp. Cephalopods classified under the taxonomic groups Loligo forbesi Steensrup or Loligo vulgaris Lam. or Loligo spp. or Alloteuthis subulata lam. or Ommastrephes sagittatus Lam. or Todarodes sagittatus Lam. or Todarodes pacificus or Illex illecebrosus or Illex spp., commonly known as Squids. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",78,
A02JJ,"Squid, common",,Loligo forbesi Steenstrup,"Cephalopods classified under the species Loligo forbesi Steenstrup, commonly known as Common squid. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02JJ#F01.A056D$F02.A0EME$F27.A02JJ$F33.A0C38,"Squid, common. Common squid. Loligo forbesi Steenstrup. Cephalopods classified under the species Loligo forbesi Steenstrup, commonly known as Common squid. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",41,Common squid
A02JK,"Squid, european flying",,Ommastrephes sagittatus Lam.$Todarodes sagittatus Lam.,"Cephalopods classified under the species Ommastrephes sagittatus Lam. or Todarodes sagittatus Lam., commonly known as European flying squid. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02JK#F01.A056E$F02.A0EME$F27.A02JK$F33.A0C38,"Squid, european flying. European flying squid. Ommastrephes sagittatus Lam.$Todarodes sagittatus Lam. Cephalopods classified under the species Ommastrephes sagittatus Lam. or Todarodes sagittatus Lam., commonly known as European flying squid. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",50,European flying squid
A02JL,"Squid, japanese flying",,Todarodes pacificus,"Cephalopods classified under the species Todarodes pacificus, commonly known as Japanese flying squid. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02JL#F01.A056F$F02.A0EME$F27.A02JL$F33.A0C38,"Squid, japanese flying. Japanese flying squid. Todarodes pacificus. Cephalopods classified under the species Todarodes pacificus, commonly known as Japanese flying squid. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",42,Japanese flying squid
A02JM,"Squid, short finned",,Illex illecebrosus,"Cephalopods classified under the species Illex illecebrosus, commonly known as Short finned squid. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02JM#F01.A056G$F02.A0EME$F27.A02JM$F33.A0C38,"Squid, short finned. Short finned squid. Illex illecebrosus. Cephalopods classified under the species Illex illecebrosus, commonly known as Short finned squid. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",42,Short finned squid
A02JP,Dried fish,,,"The group includes Fish products preserved by drying; water is usually removed from the flesh by air/wind drying. The part consumed/analysed is by default the whole, or a portion representing the heterogeneity observed in the product. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02JP#F02.A0EMT$F28.A07KG$F33.A0C37,"Dried fish. The group includes Fish products preserved by drying; water is usually removed from the flesh by air/wind drying. The part consumed/analysed is by default the whole, or a portion representing the heterogeneity observed in the product. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",53,
A02JQ,"Marine fish, dried",,,"The group includes any type of dried Marine fish. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02JQ#F02.A0EMT$F28.A07KG,"Marine fish, dried. The group includes any type of dried Marine fish. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",34,
A02JR,Stockfish,,,"The group includes any type of Stockfish. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02JR#F02.A0EMT$F27.A02BT$F28.A07KG$F33.A0C37,"Stockfish. The group includes any type of Stockfish. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",30,
A02JS,"Cod, dried",,Gadus morhua$Gadus callarias$Gadus ogac Richardson$Gadus macrocephalus,"The group includes any type of dried Cod (Gadus morhua, Gadus callarias, Gadus ogac Richardson, Gadus macrocephalus). The part consumed/analysed is by default the whole, or a portion representing the heterogeneity observed in the product. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02JS#F02.A0EMT$F27.A02BV$F28.A07KG$F33.A0C37,"Cod, dried. Gadus morhua$Gadus callarias$Gadus ogac Richardson$Gadus macrocephalus. The group includes any type of dried Cod (Gadus morhua, Gadus callarias, Gadus ogac Richardson, Gadus macrocephalus). The part consumed/analysed is by default the whole, or a portion representing the heterogeneity observed in the product. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",58,
A02JT,"Hake, dried",,Merluccius spp.,"The group includes any type of dried Hake (Merluccius spp.). The part consumed/analysed is by default the whole, or a portion representing the heterogeneity observed in the product. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02JT#F02.A0EMT$F27.A02CB$F28.A07KG$F33.A0C37,"Hake, dried. Merluccius spp. The group includes any type of dried Hake (Merluccius spp.). The part consumed/analysed is by default the whole, or a portion representing the heterogeneity observed in the product. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",47,
A02JV,"Ling, dried",,Molva molva$Molva byrkelange Walbaum$Molva dipterygia$Molva elongata Otto,"The group includes any type of dried Ling (Molva molva, Molva byrkelange Walbaum, Molva dipterygia, Molva elongata Otto). The part consumed/analysed is by default the whole, or a portion representing the heterogeneity observed in the product. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02JV#F02.A0EMT$F27.A02CC$F28.A07KG$F33.A0C37,"Ling, dried. Molva molva$Molva byrkelange Walbaum$Molva dipterygia$Molva elongata Otto. The group includes any type of dried Ling (Molva molva, Molva byrkelange Walbaum, Molva dipterygia, Molva elongata Otto). The part consumed/analysed is by default the whole, or a portion representing the heterogeneity observed in the product. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",60,
A02JX,"Flat-fishes, dried",,,"The group includes any type of dried Flat-fishes. The part consumed/analysed is by default the whole, or a portion representing the heterogeneity observed in the product. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02JX#F02.A0EMT$F27.A02AR$F28.A07KG$F33.A0C37,"Flat-fishes, dried. The group includes any type of dried Flat-fishes. The part consumed/analysed is by default the whole, or a portion representing the heterogeneity observed in the product. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",43,
A02JY,"Halibut, dried",,Hippoglossus hippoglossus$Hippoglossus stenolepis$Reinhardtius hippoglossoides Walbaum,"The group includes any type of dried Halibut (Hippoglossus hippoglossus, Hippoglossus stenolepis, Reinhardtius hippoglossoides Walbaum). The part consumed/analysed is by default the whole, or a portion representing the heterogeneity observed in the product. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02JY#F02.A0EMT$F27.A02AY$F28.A07KG$F33.A0C37,"Halibut, dried. Hippoglossus hippoglossus$Hippoglossus stenolepis$Reinhardtius hippoglossoides Walbaum. The group includes any type of dried Halibut (Hippoglossus hippoglossus, Hippoglossus stenolepis, Reinhardtius hippoglossoides Walbaum). The part consumed/analysed is by default the whole, or a portion representing the heterogeneity observed in the product. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",55,
A02JZ,"Dab or common dab, dried",,Limanda limanda,"The group includes any type of dried Dab or common dab (Limanda limanda). The part consumed/analysed is by default the whole, or a portion representing the heterogeneity observed in the product. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02JZ#F02.A0EMT$F27.A02AS$F28.A07KG$F33.A0C37,"Dab or common dab, dried. Limanda limanda. The group includes any type of dried Dab or common dab (Limanda limanda). The part consumed/analysed is by default the whole, or a portion representing the heterogeneity observed in the product. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",53,
A02KB,Processed or preserved fish (including processed offal),,,"The category includes Fish products, including fish meat and offals, that have been processed for preservation or for generating food products of different nature.",A02KB#F02.A0EMQ$F33.A0C37,"Processed or preserved fish (including processed offal). The category includes Fish products, including fish meat and offals, that have been processed for preservation or for generating food products of different nature.",31,
A02KC,"Fish fingers, breaded",,,"The group includes any type of Fish fingers, breaded, including fish fillet. The part consumed/analysed is by default the whole, or a portion representing the heterogeneity observed in the product. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02KC#F02.A0EMM$F28.A07HK$F28.A07LM$F33.A0C37,"Fish fingers, breaded. The group includes any type of Fish fingers, breaded, including fish fillet. The part consumed/analysed is by default the whole, or a portion representing the heterogeneity observed in the product. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",48,
A02KD,Fish balls,,,"The group includes any type of Fish balls, usually made from fish and other ingredients shaped as small balls. More detailed information on the characterising ingredients can be added with additional facet descriptors. The part consumed/analysed is by default the whole, or a portion representing the heterogeneity observed in the product. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02KD#F02.A06GJ,"Fish balls. The group includes any type of Fish balls, usually made from fish and other ingredients shaped as small balls. More detailed information on the characterising ingredients can be added with additional facet descriptors. The part consumed/analysed is by default the whole, or a portion representing the heterogeneity observed in the product. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",68,
A02KE,Fish paste or surimi,,,"The group includes any type of Fish paste or the textured fish paste porducts like surimi. The part consumed/analysed is by default the whole, or a portion representing the heterogeneity observed in the product. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02KE#F02.A0EMM$F28.A07LM$F33.A0C37,"Fish paste or surimi. The group includes any type of Fish paste or the textured fish paste porducts like surimi. The part consumed/analysed is by default the whole, or a portion representing the heterogeneity observed in the product. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",53,
A02KF,Smoked salmon,,,"The group includes any type of Smoked salmon. The part consumed/analysed is by default the whole, or a portion representing the heterogeneity observed in the product. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02KF#F02.A0EMX$F27.A0C75$F28.A07JV$F33.A0C37,"Smoked salmon. The group includes any type of Smoked salmon. The part consumed/analysed is by default the whole, or a portion representing the heterogeneity observed in the product. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",43,
A02KG,Smoked herring,,,"The group includes any type of Smoked herring. The part consumed/analysed is by default the whole, or a portion representing the heterogeneity observed in the product. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02KG#F02.A0EMX$F27.A02DE$F28.A07JV$F33.A0C37,"Smoked herring. The group includes any type of Smoked herring. The part consumed/analysed is by default the whole, or a portion representing the heterogeneity observed in the product. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",43,
A02KN,Marine mammals meat,,,The group includes any type of Marine mammals meat (ISSCAAP division 6). The meat of various species is used as food or feed in some areas of the world. The blubber (i.e. whale or seal fat) fat and train oil (oil derived from whale fat) is used after processing as raw material in food or feed manufacture.,A02KN#F01.A056K$F02.A0BYZ$F27.A02KN$F33.A0C3M,Marine mammals meat. The group includes any type of Marine mammals meat (ISSCAAP division 6). The meat of various species is used as food or feed in some areas of the world. The blubber (i.e. whale or seal fat) fat and train oil (oil derived from whale fat) is used after processing as raw material in food or feed manufacture.,60,
A02KQ,Amphibians and Reptiles,,,"The group includes any type of Amphibians and Reptiles used as food source, as defined in EU pesticide regulation. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A02KQ#F01.A04SF$F02.A05HL$F27.A02KQ,"Amphibians and Reptiles. The group includes any type of Amphibians and Reptiles used as food source, as defined in EU pesticide regulation. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",63,
A02KR,Frogs meat,,Anura (order),"The group includes edible meat from different frogs (ISSCAAP group 71, incomplete). The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A02KR#F01.A04SH$F02.A0EMH$F27.A02KR,"Frogs meat. Anura (order). The group includes edible meat from different frogs (ISSCAAP group 71, incomplete). The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",57,
A02KS,Bullfrog,,Rana catesbeiana$Rana tigrina,"Edible meat from bullfrog of the species Rana catesbeiana and Rana tigrina. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A02KS#F01.A04SJ$F02.A0EMH$F27.A02KS,"Bullfrog. Rana catesbeiana$Rana tigrina. Edible meat from bullfrog of the species Rana catesbeiana and Rana tigrina. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",38,
